raw_row_number,lat,lng,location,district,date,time,stop_count,share_of_total
30,37.7514449,-122.3895744,"26TH & MINNESOTA",C,13514.0,36000.0,2001,11.9
31,37.7925635,-122.3909731,"EMBARCADERO & HOWARDA ON",B,13514.0,37020.0,2670,15.9
32,37.7615623,-122.480251,"1700 JUDAH",I,13514.0,37500.0,1378,8.2
33,37.7987116,-122.4079096,COLUMBUS/VALLEJO,A,13514.0,37680.0,1063,6.3
34,37.7771816,-122.4073353,"FOLSOM & MOSS",J,13514.0,38100.0,1045,6.2
35,37.7930755,-122.422808,"WASHINGTON/VAN NESS",E,13514.0,38400.0,2263,13.4
36,37.738037,-122.4513019,"400 MOLIMO",H,13514.0,38700.0,2502,14.9
37,37.7537838,-122.4872124,NORIEGA/29TH,I,13514.0,39300.0,1378,8.2
1,37.78497480000001,-122.419572,"POLK AT OFARRELL",E,13514.0,660.0,2263,13.4
38,37.7775519,-122.3911263,"3RD & BERRY",B,13514.0,39600.0,2670,15.9
39,37.72767839999999,-122.3881338,UNDERWOOD/JENNINGS,C,13514.0,40620.0,2001,11.9
40,37.7727882,-122.3981296,"280 S/B @ OCEAN AVE EXIT",H,13514.0,41280.0,2502,14.9
10,37.7506051,-122.4022101,26THST/KANSAS,C,13514.0,4560.0,2001,11.9
11,37.76028489999999,-122.5058489,"JUDAH ST & 46TH AVE",I,13514.0,4800.0,1378,8.2
41,37.7591439,-122.4108627,"20TH & TENNESSEE",B,13514.0,43860.0,2670,15.9
42,37.7737729,-122.408536,"8TH ST/HARRISON",B,13514.0,44280.0,2670,15.9
43,37.772569700000005,-122.48429640000002,"FULTON & 25TH AVE",G,13514.0,44700.0,1076,6.4
44,37.7809532,-122.4643025,"GEARY & 6TH AV",G,13514.0,45600.0,1076,6.4
45,37.8008441,-122.4362433,"CHESTNUT & FILLMOREDA ON",E,13514.0,46140.0,2263,13.4
46,37.7740403,-122.4521393,"GROVE @ BAKER",F,13514.0,46200.0,1340,8.0
47,37.7236047,-122.4388485,OCEAN@CAYUGA,H,13514.0,46920.0,2502,14.9
48,37.7164074,-122.4410866,GENEVA/MISSION,H,13514.0,47100.0,2502,14.9
49,37.7809439,-122.4675125,"9TH AV/GEARY BL",G,13514.0,47280.0,1076,6.4
50,37.7164074,-122.4410866,GENEVA/MISSION,H,13514.0,47400.0,2502,14.9
51,37.7913282,-122.4224585,"VAN NESS & SACRAMENTO",E,13514.0,48720.0,2263,13.4
52,37.7742851,-122.4047697,"7TH & BRYANT",B,13514.0,49500.0,2670,15.9
53,37.7699536,-122.4199623,"13TH ST / MISSION ST",D,13514.0,50220.0,1482,8.8
12,37.78670880000001,-122.4068458,"130 OFARRELL",J,13514.0,6000.0,1045,6.2
54,37.775785,-122.4241999,"FELL & OCTAVIA",E,13514.0,51840.0,2263,13.4
55,37.7618277,-122.4328912,"FORD AND NOE",D,13514.0,52200.0,1482,8.8
56,37.72270379999999,-122.4449868,"SAN JOSE & ONIEDA",H,13514.0,52200.0,2502,14.9
57,37.7906891,-122.4240929,"FRANKLIN & GROVE",E,13514.0,52320.0,2263,13.4
58,37.7598327,-122.4258706,"19TH ST AND DOLORES ST",D,13514.0,52740.0,1482,8.8
59,37.7713289,-122.5111227,"GREAT HWY/FULTON",G,13514.0,53100.0,1076,6.4
13,37.724695,-122.4529324,"50 PHELAN",H,13514.0,6300.0,2502,14.9
60,37.7721456,-122.4745298,"PARK PRESIDIO/JFK",G,13514.0,54960.0,1076,6.4
61,37.7665961,-122.4210799,"15TH ST/JULIAN AV",D,13514.0,59760.0,1482,8.8
62,37.7752838,-122.4159371,"10TH STREET & MISSION",B,13514.0,62400.0,2670,15.9
63,37.7178915,-122.4423977,GENEVA/ALEMANY,H,13514.0,63900.0,2502,14.9
64,37.7603707,-122.4170493,"19TH ST AT SOUTH VANNESS AVE",D,13514.0,64800.0,1482,8.8
65,37.7749295,-122.4194155,HWY101NB,C,13514.0,65520.0,2001,11.9
66,37.7810463,-122.4203923,"VAN NESS AVE @ GOLDEN GATE ST",E,13514.0,65880.0,2263,13.4
67,37.7824706,-122.439284,DIVISADERO/OFARREL,F,13514.0,66600.0,1340,8.0
69,37.778583000000005,-122.4208774,"VANNESS & MARKETNESWA ON",B,13514.0,68400.0,2670,15.9
68,37.7469916,-122.4713511,"15TH AVE & RIVERA ST",I,13514.0,68400.0,1378,8.2
70,37.7342958,-122.4327678,"WILDE AND CARRIE",H,13514.0,69060.0,2502,14.9
71,37.7713192,-122.4591996,"JFK & MIDDLE DRIVE",F,13514.0,69300.0,1340,8.0
72,37.7790823,-122.50725420000002,"46TH AV @ GEARY BLVD",G,13514.0,69480.0,1076,6.4
73,37.7771833,-122.4650866,"BALBOA ST/7TH AV",G,13514.0,69900.0,1076,6.4
74,37.7713192,-122.4591996,"JFK & MIDDLE DRIVE",F,13514.0,69900.0,1340,8.0
75,37.7987116,-122.4079096,"COLUMBUS & VALLEJOSWA ON",A,13514.0,70200.0,1063,6.3
76,37.78187750000001,-122.4138801,"LEAVENWORTH AND GOLDEN GATE",J,13514.0,70800.0,1045,6.2
77,37.742817,-122.3880258,"EVANS AT THIRD STREET",C,13514.0,72000.0,2001,11.9
78,37.7111138,-122.42715990000002,"1688 GENEVA AVE",H,13514.0,74400.0,2502,14.9
79,37.7139386,-122.4411846,"POPE ST & CROSS ST",H,13514.0,74700.0,2502,14.9
81,37.780725,-122.4722672,"GEARY/PARK PRESIDIO",G,13514.0,75600.0,1076,6.4
80,37.7759174,-122.4043399,"850 BRYANT STREET",A,13514.0,75600.0,1063,6.3
82,37.7823139,-122.4059628,"MINNA & 5TH STREET",B,13514.0,76500.0,2670,15.9
83,37.7987396,-122.3998979,"BROADWAY & FRONT",A,13514.0,78000.0,1063,6.3
84,37.7373148,-122.4131337,"REVERE AVR & KEITH",C,13514.0,78120.0,2001,11.9
85,37.7892973,-122.4489584,"CALIFORNIA & WALNUT",G,13514.0,78300.0,1076,6.4
86,37.753976,-122.4164407,"SO VAN NESS/23RD",D,13514.0,78480.0,1482,8.8
87,37.7844688,-122.4079864,"POWELL & STOCKTON",A,13514.0,78600.0,1063,6.3
88,37.7792143,-122.4109628,"7TH STREET & MISSION",J,13514.0,78900.0,1045,6.2
89,37.7846152,-122.4194998,"850 POLK",J,13514.0,79200.0,1045,6.2
91,37.78107500000001,-122.447612,MASONIC/ANZA,G,13514.0,79200.0,1076,6.4
90,37.7976366,-122.4086324,"BROADWAY & STOCKTONWA ON",A,13514.0,79200.0,1063,6.3
93,37.78551710000001,-122.4537618,"CALIFORNIA & SPRUCE",G,13514.0,79800.0,1076,6.4
95,37.7377936,-122.3959698,"OAKDALE AVE & QUINT",C,13514.0,79800.0,2001,11.9
92,37.7654834,-122.4773968,19TH/LINCOLN,G,13514.0,79800.0,1076,6.4
94,37.7993815,-122.4089395,"COLUMBUS & STOCKTONWA ON",A,13514.0,79800.0,1063,6.3
96,37.7656055,-122.4312713,"MARKET ST/15TH ST",D,13514.0,80100.0,1482,8.8
97,37.7887065,-122.405239,"GRANT & POST",J,13514.0,80280.0,1045,6.2
98,37.7875726,-122.421707,"VAN NESS AVE/SUTTER",E,13514.0,80700.0,2263,13.4
99,37.7470321,-122.4705373,"14TH AVE & RIVERA ST",I,13514.0,81000.0,1378,8.2
100,37.7618426,-122.4193887,18TH/MISSION,D,13514.0,81000.0,1482,8.8
101,37.7829042,-122.4655036,"7TH AVE & CLEMENT",G,13514.0,81240.0,1076,6.4
102,37.712526,-122.4191832,"1725 SUNNYDALE",H,13514.0,81360.0,2502,14.9
103,37.78560220000001,-122.4146425,"LEAVENWORTH AND OFARRELL",J,13514.0,81420.0,1045,6.2
104,37.7604938,-122.4100197,19TH/BRYANT,D,13514.0,81600.0,1482,8.8
105,37.727656,-122.4324727,"MISSION & AVALON",H,13514.0,81780.0,2502,14.9
106,38.5449065,-121.7405167,"DAVIS & BROADWAYTONWA ON",A,13514.0,81900.0,1063,6.3
107,37.77046929999999,-122.5110482,"GREAT HIGHWAY/JFK DR",G,13514.0,81900.0,1076,6.4
108,37.7846672,-122.4120835,"357 ELLIS",J,13514.0,82500.0,1045,6.2
109,37.7699578,-122.4206114,"DUBOCE ST & 13TH ST.",B,13514.0,82500.0,2670,15.9
2,37.7850913,-122.4111659,"ELLIS AND TAYLOR",J,13514.0,1380.0,1045,6.2
110,37.7978749,-122.4067162,"BROADWAY & COLUMBUS",A,13514.0,82800.0,1063,6.3
111,37.7946125,-122.4248871,PACIFIC&FRANKLIN,E,13514.0,82920.0,2263,13.4
112,37.7988877,-122.3987172,"BROADWAY AT DAVIS",A,13514.0,83100.0,1063,6.3
113,37.7850913,-122.4111659,"ELLIS & TAYLOR",J,13514.0,83100.0,1045,6.2
114,37.78055560000001,-122.47619070000002,"GEARY & 17TH AVE",G,13514.0,83100.0,1076,6.4
115,37.7765716,-122.433057,"DIVISADERO ST AND GROVE ST.",F,13514.0,83700.0,1340,8.0
116,37.7289473,-122.3785372,"NAVY & GRIFFITH",C,13514.0,84000.0,2001,11.9
117,37.7830985,-122.4612218,"3RD AV/CLEMENT ST",G,13514.0,84600.0,1076,6.4
118,37.775455,-122.39705,"5TH ST & TOWNSEND ST.",B,13514.0,84900.0,2670,15.9
119,37.716183,-122.450409,"LAKEVIEW & SAN JOSE",I,13514.0,85200.0,1378,8.2
120,37.771911200000005,-122.454095,"FELL & STANYAN",E,13514.0,85620.0,2263,13.4
121,37.7836359,-122.4378359,GEARY&SCOTT,F,13514.0,85740.0,1340,8.0
122,37.786691600000005,-122.4188753,"1035 POST",A,13514.0,85980.0,1063,6.3
123,37.7846684,-122.4144517,ELLIS/LEAVENWORTH,J,13514.0,86100.0,1045,6.2
14,37.7593813,-122.4069477,"POTRERO @ 20TH",D,13514.0,9600.0,1482,8.8
15,37.7561742,-122.4067237,"POTRERO ST AND 22THST",D,13514.0,9600.0,1482,8.8
3,37.774949,-122.4192915,101/ARMY,D,13514.0,1680.0,1482,8.8
4,37.7749295,-122.4194155,"CHARLES J BRENNAN ANDMARKET",J,13514.0,1800.0,1045,6.2
5,37.7993175,-122.3975688,EMBARCADERO/BROADWAY,E,13514.0,1800.0,2263,13.4
16,37.773644700000006,-122.4409359,FELL/BAKER,F,13514.0,12000.0,1340,8.0
17,37.785520700000006,-122.4065459,"800 MARKET",B,13514.0,13140.0,2670,15.9
6,37.7397793,-122.4236755,MISSION/RANDALL,H,13514.0,2280.0,2502,14.9
7,37.7854319,-122.4247159,"GOUGH AT GEARY",E,13514.0,2880.0,2263,13.4
8,37.7978368,-122.4070369,"600 BLK OF BROADWAY",E,13514.0,3000.0,2263,13.4
18,37.7220747,-122.4397933,ONONDAGA/CAYUGA,H,13514.0,18600.0,2502,14.9
9,37.7277189,-122.4058424,"MLK & 19TH AVE",I,13514.0,3300.0,1378,8.2
19,37.7867986,-122.4073963,"170 O'FARRELL",J,13514.0,24600.0,1045,6.2
20,37.7653997,-122.41561609999998,"16TH & FOLSOM",D,13514.0,25200.0,1482,8.8
21,37.7620395,-122.4161099,"18TH & SHOTWELL",D,13514.0,27000.0,1482,8.8
22,37.7754511,-122.5075613,"4528 BALBOA ST",K,13514.0,27420.0,20,0.1
23,37.7429633,-122.4778431,21STAVE&TARAVAL,I,13514.0,28800.0,1378,8.2
